OMB Control No,Agency/Sub,Title,Request Type,Date Received,Concluded Date,Conclusion Action,Current Expiration Date,No. of ICs,No. of Forms,AdminYear,Web_ICR Ref. No.,Web_Request Type,Web_Date Received By OIRA,Web_Conclusion Date,Web_Conclusion Action,Request Year
1845-0151,ED/FSA,Temporary Expansion of Public Service Loan Forgiveness (TE-PSLF),Extension without change of a currently approved collection,8/14/2018 0:00,12/7/2018 0:00,Approved without change,9/30/2021 0:00,1,0,2021,201805-1845-004,Discontinue,8/18/2021,9/27/2021,Approved,2021
1850-0768,ED/IES,National Household Education Survey 2019 (NHES:2019),No material or nonsubstantive change to a currently approved collection,2/26/2019 0:00,2/26/2019 0:00,Approved without change,8/31/2021 0:00,1,0,2021,202305-1850-006,Discontinue,7/31/2025,8/5/2025,Approved,2025
1850-0852,ED/IES,High School Longitudinal Study of 2009 (HSLS:09) Panel Maintenance 2018 and 2021,No material or nonsubstantive change to a currently approved collection,5/27/2021 0:00,6/14/2021 0:00,Approved without change,11/30/2021 0:00,1,0,2021,202105-1850-005,Discontinue,11/1/2021,11/16/2021,Approved,2021
1850-0902,ED/IES,Implementation of Title I/II Program Initiatives,Reinstatement with change of a previously approved collection,2/12/2018 0:00,4/26/2018 0:00,Approved without change,4/30/2021 0:00,1,7,2021,201710-1850-001,Discontinue,4/9/2021,4/27/2021,Approved,2021
1850-0913,ED/IES,National Evaluation of the Investing in Innovation (i3) Program,Extension without change of a currently approved collection,1/16/2018 0:00,3/14/2018 0:00,Approved without change,3/31/2021 0:00,1,0,2021,201710-1850-002,Discontinue,3/1/2021,3/8/2021,Approved,2021
1850-0946,ED/IES,A Study of Reliability and Consequential Validity of a Mathematics Diagnostic Assessment System in Georgia,New collection (Request for a new OMB Control Number),10/31/2018 0:00,3/8/2019 0:00,Approved with change,12/31/2021 0:00,1,3,2021,201809-1850-006,Discontinue,11/3/2021,11/19/2021,Approved,2021
1850-0947,ED/IES,Assessing Evidence of Effectiveness in Adult Education,No material or nonsubstantive change to a currently approved collection,3/25/2020 0:00,3/25/2020 0:00,Approved without change,11/30/2021 0:00,1,0,2021,202003-1850-006,Discontinue,10/14/2021,11/19/2021,Approved,2021
1850-0948,ED/IES,National Study of the Implementation of Adult Education under the Workforce Innovation and Opportunity Act,New collection (Request for a new OMB Control Number),6/4/2019 0:00,9/12/2019 0:00,Approved without change,12/31/2021 0:00,1,3,2021,201902-1850-001,Discontinue,10/14/2021,11/19/2021,Approved,2021
1850-0956,ED/IES,National Assessment of Educational Progress (NAEP) 2021 Schools and Teacher Questionnaire Special Study,Revision of a currently approved collection,3/18/2021 0:00,3/19/2021 0:00,Approved without change,8/31/2021 0:00,1,0,2021,202103-1850-006,Discontinue,8/9/2021,8/9/2021,Approved,2021
1850-0957,ED/IES,NAEP 2021 School Survey,No material or nonsubstantive change to a currently approved collection,3/16/2021 0:00,3/18/2021 0:00,Approved without change,8/31/2021 0:00,1,0,2021,202103-1850-005,Discontinue,8/9/2021,8/9/2021,Approved,2021
1875-0288,ED/OPEPD,Study of the ESEA Title VI Indian Education LEA Grants Program,No material or nonsubstantive change to a currently approved collection,2/27/2018 0:00,3/6/2018 0:00,Approved without change,2/28/2021 0:00,1,0,2021,201802-1875-001,Discontinue,2/1/2021,2/22/2021,Approved,2021
1875-0289,ED/OPEPD,Study of Higher Education Articulation Agreements Covering the Early Care and Education Workforce,New collection (Request for a new OMB Control Number),12/28/2017 0:00,3/13/2018 0:00,Approved with change,3/31/2021 0:00,1,0,2021,201710-1875-001,Discontinue,3/1/2021,3/8/2021,Approved,2021
1902-0281,FERC,"FERC-725G2, (Order in RD18-4-000) Reliability Standard for the Bulk Power System: Reliability Standard PRC-025-2",New collection (Request for a new OMB Control Number),8/13/2018 0:00,9/24/2018 0:00,Approved with change,9/30/2021 0:00,1,0,2021,201806-1902-010,Discontinue,9/29/2021,9/29/2021,Approved,2021
1902-0302,FERC,"FERC-501G, (Final Rule in RM18-11) Rate Changes Relating to Federal Corporate Income Tax Rate for Interstate Natural Gas Pipelines",New collection (Request for a new OMB Control Number),7/30/2018 0:00,9/12/2018 0:00,Approved with change,8/31/2021 0:00,3,0,2021,201806-1902-003,Discontinue,6/3/2021,6/4/2021,Approved,2021
1905-0145,DOE/EIA,Commercial Building Energy Consumption Survey (CBECS),Reinstatement with change of a previously approved collection,12/19/2018 0:00,3/26/2019 0:00,Approved with change,10/31/2021 0:00,2,5,2021,201812-1905-004,Discontinue,10/7/2021,10/13/2021,Approved,2021
1905-0169,DOE/EIA,Manufacturing Energy Consumption Survey (MECS),Reinstatement with change of a previously approved collection,7/31/2018 0:00,10/9/2018 0:00,Approved without change,7/31/2021 0:00,1,1,2021,202210-1905-003,Discontinue,11/15/2024,11/15/2024,Approved,2024
1905-0212,DOE/EIA,Proposed Emergency Survey to Supplement the EIA-805 Weekly Bulk Terminal Report in PADD 1 (East Coast) and PADD 3 (Gulf Coast),New collection (Request for a new OMB Control Number),5/28/2021 0:00,6/4/2021 0:00,Approved with change,6/30/2021 0:00,1,1,2021,202105-1905-003,Discontinue,6/22/2021,6/22/2021,Approved,2021
1910-5166,DOE/DOEOA,Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Commercialization Survey,Revision of a currently approved collection,5/25/2018 0:00,10/29/2018 0:00,Approved without change,10/31/2021 0:00,1,0,2021,201805-1910-002,Discontinue,10/12/2021,10/13/2021,Approved,2021
2025-0009,EPA/OEI,Toxic Chemical Release Reporting (Change),No material or nonsubstantive change to a currently approved collection,12/27/2019 0:00,1/29/2020 0:00,Approved without change,5/12/2021 0:00,2,3,2021,201912-2025-001,Discontinue,3/17/2021,5/12/2021,Approved,2021
2030-0050,EPA/OMS,EPA Workforce Questionnaire on Returning to the Workplace,New collection (Request for a new OMB Control Number),5/20/2021 0:00,5/20/2021 0:00,Approved without change,12/9/2021 0:00,1,0,2021,202105-2030-001,Discontinue,11/30/2021,12/9/2021,Approved,2021
2040-0246,EPA/OW,Laboratory Quality Assurance Evalution Program for Analysis of Cryptosporidum Under the Safe Drinking Water Act (Renewal),Extension without change of a currently approved collection,1/31/2018 0:00,6/22/2018 0:00,Approved with change,6/30/2021 0:00,3,10,2021,201801-2040-002,Discontinue,10/27/2020,12/2/2020,Approved,2020
2050-0214,EPA/OLEM,Hazardous Waste Export-Import Revisions (Final Rule),Revision of a currently approved collection,3/6/2019 0:00,3/6/2019 0:00,Approved without change,5/31/2021 0:00,1,0,2021,201903-2050-001,Discontinue,4/1/2021,5/12/2021,Approved,2021
2050-0220,EPA/OLEM,2018 Clean Water Act Hazardous Substance Survey (New),New collection (Request for a new OMB Control Number),5/7/2018 0:00,6/22/2018 0:00,Approved with change,6/30/2021 0:00,1,0,2021,201805-2050-001,Discontinue,3/2/2021,3/3/2021,Approved,2021
2060-0275,EPA/OAR,"Regulation of Fuels and Fuel Additives: Detergent Gasoline (40 CFR Part 80, Subpart G) (Reinstatement)",Reinstatement without change of a previously approved collection,2/28/2018 0:00,7/2/2018 0:00,Approved without change,11/29/2021 0:00,4,0,2021,201802-2060-001,Discontinue,1/19/2021,11/29/2021,Approved,2021
2060-0306,EPA/OAR,Clean Air Act Tribal Authority (Renewal),Revision of a currently approved collection,8/31/2018 0:00,12/18/2018 0:00,Approved with change,1/20/2022 0:00,1,0,2021,201808-2060-011,Discontinue,10/29/2021,1/20/2022,Approved,2021
2060-0308,EPA/OAR,"Diesel Fuel Regulations (40 CFR part 80, subpart I) (Renewal)",Extension without change of a currently approved collection,3/22/2019 0:00,11/18/2019 0:00,Approved with change,11/29/2021 0:00,1,11,2021,201903-2060-028,Discontinue,9/24/2021,11/29/2021,Approved,2021
2060-0675,EPA/OAR,Recordkeeping and Reporting Related to E15,Reinstatement without change of a previously approved collection,9/11/2015 0:00,10/6/2016 0:00,Approved with change,7/27/2021 0:00,1,0,2021,201509-2060-003,Discontinue,6/30/2021,7/27/2021,Approved,2021
2060-0692,EPA/OAR,Performance-Based Measurement System for Fuels (Renewal),Extension without change of a currently approved collection,5/31/2019 0:00,12/5/2019 0:00,Approved without change,11/29/2021 0:00,1,2,2021,201905-2060-004,Discontinue,9/24/2021,11/29/2021,Approved,2021
2060-0732,EPA/OAR,Establishment of the Hydrofluorocarbon Baseline and Initial Allocations under the AIM Act,New collection (Request for a new OMB Control Number),3/30/2021 0:00,4/22/2021 0:00,Approved with change,12/31/2021 0:00,1,3,2021,202103-2060-005,Discontinue,10/29/2021,12/7/2021,Approved,2021
2070-0074,EPA/OCSPP,Requirements for Certified Applicators Using 1080 Collars for Livestock Protection (Renewal),Extension without change of a currently approved collection,6/30/2017 0:00,12/12/2018 0:00,Approved without change,12/31/2021 0:00,2,0,2021,201706-2070-001,Discontinue,9/1/2021,11/17/2021,Approved,2021
2120-0726,DOT/FAA,Performance and Handling Requirements for Rotorcraft,Revision of a currently approved collection,9/30/2017 0:00,1/23/2018 0:00,Approved with change,1/31/2021 0:00,1,0,2021,201709-2120-003,Discontinue,9/23/2020,9/24/2020,Approved,2020
2120-0734,DOT/FAA,Special Awareness Training for the Washington DC Metropolitan Area,Extension without change of a currently approved collection,6/29/2018 0:00,11/2/2018 0:00,Approved without change,5/31/2021 0:00,1,0,2021,201806-2120-005,Discontinue,4/21/2021,5/3/2021,Approved,2021
2120-0788,DOT/FAA,SFAR: Limited Extension of Relief for Certain Persons and Operations during the Coronavirus Disease 2019 (COVID-19) Outbreak,Revision of a currently approved collection,7/17/2020 0:00,9/24/2020 0:00,Approved without change,3/31/2021 0:00,2,0,2021,202006-2120-001,Discontinue,3/23/2021,3/26/2021,Approved,2021
2125-0039,DOT/FHWA,Planning and Research Program Administration,Extension without change of a currently approved collection,10/29/2017 0:00,8/2/2018 0:00,Approved without change,9/30/2021 0:00,1,0,2021,202308-2125-004,Reinstatement without change of a previously approved collection,12/4/2023,2/20/2024,Approved with change,2023
2125-0501,DOT/FHWA,Highway Bridge and National Bridge Inspection Programs (National Bridge Inspection Standards),Extension without change of a currently approved collection,4/25/2018 0:00,8/13/2018 0:00,Approved without change,9/30/2021 0:00,3,2,2021,202311-2125-001,Reinstatement with change of a previously approved collection,2/21/2024,5/2/2024,Approved with change,2024
2125-0587,DOT/FHWA,Travel Monitoring Analysis System (TMAS),Extension without change of a currently approved collection,4/19/2018 0:00,8/13/2018 0:00,Approved without change,9/30/2021 0:00,1,0,2021,202310-2125-003,Reinstatement with change of a previously approved collection,1/9/2024,4/3/2024,Approved with change,2024
2125-0638,DOT/FHWA,Survey and Comparative Assessment of Truck Parking Facilities. (Jason's Law),Reinstatement with change of a previously approved collection,3/19/2021 0:00,10/12/2018 0:00,Approved,8/31/2021 0:00,5,5,2021,202403-2125-009,Reinstatement with change of a previously approved collection,5/28/2024,8/13/2024,Approved with change,2024
2125-0646,DOT/FHWA,"Assessment of Transportation Planning Agency Needs, Capabilities and Capacity",Extension without change of a currently approved collection,10/29/2017 0:00,8/2/2018 0:00,Approved without change,9/30/2021 0:00,2,0,2021,201710-2125-004,Discontinue,8/31/2021,9/3/2021,Approved,2021
2125-0657,DOT/FHWA,Local Public Agencies Training and Technical Assistance Needs Assessment,New collection (Request for a new OMB Control Number),11/30/2017 0:00,9/28/2018 0:00,Approved without change,9/30/2021 0:00,1,0,2021,201710-2125-002,Discontinue,3/2/2021,5/4/2021,Approved,2021
2125-0658,DOT/FHWA,Roadway Safety Data Capability Assessment,New collection (Request for a new OMB Control Number),11/30/2017 0:00,10/3/2018 0:00,Approved with change,10/31/2021 0:00,1,0,2021,201710-2125-003,Discontinue,3/2/2021,5/4/2021,Approved,2021
2127-0626,DOT/NHTSA,Tire Pressure Monitoring System-Outage Rates and Repair Costs (TPMS-ORRC),Revision of a currently approved collection,7/31/2017 0:00,2/16/2018 0:00,Approved with change,5/4/2021 0:00,1,6,2021,201706-2127-001,Discontinue,1/5/2021,5/4/2021,Approved,2021
2127-0729,DOT/NHTSA,Psychological Constructs Related to Seat Belt Use,New collection (Request for a new OMB Control Number),8/30/2017 0:00,2/20/2018 0:00,Approved with change,5/4/2021 0:00,2,2,2021,201708-2127-001,Discontinue,1/5/2021,5/4/2021,Approved,2021
2127-0731,DOT/NHTSA,Older Driver Rearview Video Systems,New collection (Request for a new OMB Control Number),11/6/2017 0:00,8/3/2018 0:00,Approved with change,8/31/2021 0:00,2,2,2021,202303-2127-002,Discontinue,2/26/2025,3/3/2025,Approved,2025
2127-0732,DOT/NHTSA,Head-Up Displays and Distraction Potential,New collection (Request for a new OMB Control Number),6/25/2018 0:00,8/27/2018 0:00,Approved without change,8/31/2021 0:00,3,4,2021,201806-2127-007,Discontinue,8/27/2021,8/30/2021,Approved,2021
2127-0733,DOT/NHTSA,Evaluation of Heavy Vehicle Collision Warning Interfaces,New collection (Request for a new OMB Control Number),6/25/2018 0:00,8/27/2018 0:00,Approved without change,8/31/2021 0:00,5,4,2021,201806-2127-006,Discontinue,8/27/2021,8/30/2021,Approved,2021
2130-0622,DOT/FRA,Cab Technology Integration Lab (CTIL) Head-Up Display Study,No material or nonsubstantive change to a currently approved collection,2/28/2018 0:00,3/1/2018 0:00,Approved without change,1/31/2021 0:00,1,2,2021,201802-2130-008,Discontinue,12/17/2020,12/31/2020,Approved,2020
2130-0624,DOT/FRA,Information and Communications Technology (ICT) Needs Assessment Survey,New collection (Request for a new OMB Control Number),11/27/2018 0:00,1/31/2019 0:00,Approved with change,10/31/2021 0:00,1,1,2021,201810-2130-003,Discontinue,9/27/2021,10/6/2021,Approved,2021
2130-0626,DOT/FRA,Experimental Investigation of Automation-induced Human Error in the Locomotive Cab,New collection (Request for a new OMB Control Number),12/6/2018 0:00,2/21/2019 0:00,Approved with change,10/31/2021 0:00,1,0,2021,201811-2130-001,Discontinue,9/22/2021,10/6/2021,Approved,2021
2502-0594,HUD/OH,Technical Processing Requirements for Multifamily Project Mortgage Insurance,Reinstatement with change of a previously approved collection,9/28/2017 0:00,12/6/2017 0:00,Approved without change,1/21/2021 0:00,1,3,2021,201703-2502-004,Discontinue,12/8/2020,1/21/2021,Approved,2020
2502-0617,HUD/OH,Application Underwriting Support System (AUSS) Lender Portal,New collection (Request for a new OMB Control Number),5/12/2020 0:00,6/10/2020 0:00,Approved without change,1/21/2021 0:00,1,0,2021,202005-2502-003,Discontinue,12/17/2020,1/21/2021,Approved,2020
2506-0179,HUD/CPD,Congressional Earmark Grants,Reinstatement with change of a previously approved collection,11/22/2017 0:00,1/23/2018 0:00,Approved without change,1/21/2021 0:00,1,6,2021,201706-2506-002,Discontinue,1/13/2021,1/21/2021,Approved,2021
2528-0293,HUD/PD&R,Pre-Purchase Homeownership Counseling Demonstration and Impact Evaluation,Revision of a currently approved collection,7/17/2018 0:00,10/30/2018 0:00,Approved without change,11/9/2021 0:00,4,0,2021,201801-2528-001,Discontinue,10/5/2021,11/9/2021,Approved,2021
2528-0296,HUD/PD&R,Family Self-Sufficiency Program Evaluation,Revision of a currently approved collection,12/11/2017 0:00,3/6/2018 0:00,Approved with change,2/28/2021 0:00,4,4,2021,201707-2528-005,Discontinue,1/28/2021,2/12/2021,Approved,2021
2528-0315,HUD/PD&R,HUD Supportive Services Demonstration/Integrated Wellness in Supportive Housing (IWISH),New collection (Request for a new OMB Control Number),10/31/2017 0:00,2/20/2018 0:00,Approved with change,2/28/2021 0:00,4,0,2021,201702-2528-001,Discontinue,1/29/2021,2/12/2021,Approved,2021
2528-0316,HUD/PD&R,ROSS-SC Evaluation,New collection (Request for a new OMB Control Number),10/25/2017 0:00,4/3/2018 0:00,Approved with change,2/28/2021 0:00,8,0,2021,201707-2528-001,Discontinue,1/28/2021,2/12/2021,Approved,2021
2528-0317,HUD/PD&R,Evaluation of the HUD Youth Homelessness Demonstration Project,New collection (Request for a new OMB Control Number),4/26/2018 0:00,8/6/2018 0:00,Approved without change,8/31/2021 0:00,7,0,2021,201709-2528-001,Discontinue,1/28/2021,2/12/2021,Approved,2021
2528-0318,HUD/PD&R,Evaluation of the Office of Public and Indian Housing’s (PIH) Energy Performance Contracting (EPC) Program,New collection (Request for a new OMB Control Number),4/25/2018 0:00,8/7/2018 0:00,Approved with change,2/12/2021 0:00,4,0,2021,201711-2528-001,Discontinue,1/28/2021,2/12/2021,Approved,2021
2700-0167,NASA,OMB Application NASA WSPRRR Low Boom Community Response Test,New collection (Request for a new OMB Control Number),6/13/2018 0:00,8/13/2018 0:00,Approved without change,8/31/2021 0:00,1,0,2021,201806-2700-001,Discontinue,8/4/2021,8/5/2021,Approved,2021
2900-0704,VA,DoD Referral to Integrated Disability Evaluation System (IDES) (VA Form 21-0819),Revision of a currently approved collection,4/18/2018 0:00,7/6/2018 0:00,Approved with change,7/31/2021 0:00,1,1,2021,201803-2900-003,Discontinue,6/16/2021,7/6/2021,Approved,2021
2900-0711,VA,Veterans Benefits Administration (VBA) Loan Guaranty Service Lender Satisfaction Survey,Reinstatement with change of a previously approved collection,1/4/2018 0:00,3/26/2018 0:00,Approved without change,3/31/2021 0:00,1,0,2021,201708-2900-019,Discontinue,2/17/2021,2/22/2021,Approved,2021
3041-0181,CPSC,Agency Information Collection; CPSC Playground Surfaces Survey,New collection (Request for a new OMB Control Number),5/23/2018 0:00,10/17/2018 0:00,Approved with change,5/31/2021 0:00,1,1,2021,201805-3041-002,Discontinue,5/3/2021,5/10/2021,Approved,2021
3045-0171,CNCS,Alumni Outcomes Survey,Revision of a currently approved collection,4/13/2018 0:00,7/23/2018 0:00,Approved without change,7/31/2021 0:00,1,3,2021,201804-3045-002,Discontinue,6/29/2021,7/26/2021,Approved,2021
3060-0687,FCC,"Access to Telecommunications Equipment and Services by Persons with Disabilities, CC Docket No. 87-124",Revision of a currently approved collection,3/20/2018 0:00,5/1/2018 0:00,Approved without change,8/3/2021 0:00,1,0,2021,201803-3060-003,Discontinue,7/14/2021,8/3/2021,Approved,2021
3060-1054,FCC,Application for Renewal of an International Broadcast Station License (FCC Form 422-IB),Extension without change of a currently approved collection,9/18/2020 0:00,9/18/2020 0:00,Approved without change,7/31/2021 0:00,1,1,2021,202009-3060-011,Discontinue,7/15/2021,7/15/2021,Approved,2021
3060-1056,FCC,Application for an International Broadcast Station License,Extension without change of a currently approved collection,9/18/2020 0:00,9/18/2020 0:00,Approved without change,7/31/2021 0:00,1,1,2021,202009-3060-013,Discontinue,7/15/2021,7/15/2021,Approved,2021
3060-1057,FCC,Application for Authority to Construct or Make Changes in an International Broadcast Station,Extension without change of a currently approved collection,9/18/2020 0:00,9/18/2020 0:00,Approved without change,7/31/2021 0:00,1,1,2021,202009-3060-012,Discontinue,7/15/2021,7/15/2021,Approved,2021
3060-1063,FCC,"Global Mobile Personal Communications by Satellite (GMPCS) Authorization, Marketing and Importation Rules",Revision of a currently approved collection,7/2/2018 0:00,9/19/2018 0:00,Approved without change,5/31/2021 0:00,1,0,2021,201806-3060-011,Discontinue,5/27/2021,5/27/2021,Approved,2021
3060-1101,FCC,Children's Television Requests for Preemption Flexibility,Extension without change of a currently approved collection,9/25/2018 0:00,9/25/2018 0:00,Approved without change,3/31/2021 0:00,1,0,2021,201809-3060-010,Discontinue,3/26/2021,3/26/2021,Approved,2021
3060-1278,FCC,Certification of Eligibility for Exemption from Caller ID Authentication Implementation Mandate,New collection (Request for a new OMB Control Number),10/8/2020 0:00,11/2/2020 0:00,Approved without change,1/31/2021 0:00,1,0,2021,202010-3060-001,Discontinue,1/29/2021,1/29/2021,Approved,2021
3064-0151,FDIC,Notice Regarding Assessment Credits,Extension without change of a currently approved collection,10/31/2018 0:00,12/6/2018 0:00,Approved without change,8/2/2021 0:00,1,0,2021,201810-3064-003,Discontinue,6/29/2021,8/2/2021,Approved,2021
3133-0192,NCUA,Involuntary Liquidation Proof of Claim,Extension without change of a currently approved collection,9/28/2018 0:00,11/19/2018 0:00,Approved without change,12/31/2021 0:00,1,1,2021,201808-3133-002,Discontinue,10/12/2021,12/8/2021,Approved,2021
3137-0112,IMLS,Accelerating Promising Practices for Small Libraries (APP) Notice of Funding Opportunity,No material or nonsubstantive change to a currently approved collection,7/23/2019 0:00,7/31/2019 0:00,Approved without change,11/15/2021 0:00,1,1,2021,201907-3137-010,Discontinue,8/27/2021,11/15/2021,Approved,2021
3145-0080,NSF,Request for Proposals,Revision of a currently approved collection,2/1/2018 0:00,3/22/2018 0:00,Approved without change,3/31/2021 0:00,1,1,2021,202301-3145-004,Reinstatement with change of a previously approved collection,1/24/2023,6/15/2023,Withdrawn,2023
3145-0238,NSF,Engineering Industrial Innovation and Partnerships Program Monitoring Data Collections,Revision of a currently approved collection,4/27/2018 0:00,7/23/2018 0:00,Approved without change,7/31/2021 0:00,8,0,2021,201804-3145-001,Discontinue,7/30/2021,7/30/2021,Approved,2021
3145-0240,NSF,NSF Survey of Nonprofit Research Activities (NPRA),Revision of a currently approved collection,12/4/2017 0:00,2/7/2018 0:00,Approved without change,3/2/2021 0:00,5,0,2021,201712-3145-001,Discontinue,2/24/2021,3/2/2021,Approved,2021
3150-0193,NRC,"NRC Form 445, Request for Approval of Official Foreign Travel",Extension without change of a currently approved collection,12/20/2017 0:00,5/14/2018 0:00,Approved without change,5/31/2021 0:00,1,1,2021,201712-3150-003,Discontinue,5/12/2021,5/27/2021,Approved,2021
3150-0200,NRC,Requests to Non-Agreement States for Information,Revision of a currently approved collection,9/13/2018 0:00,10/18/2018 0:00,Approved with change,10/31/2021 0:00,3,0,2021,201808-3150-008,Discontinue,10/25/2021,10/28/2021,Approved,2021
3150-0234,NRC,Collection of Operator Simulator Training Data,Extension without change of a currently approved collection,1/21/2021 0:00,10/29/2021 0:00,Approved with change,12/7/2021 0:00,1,0,2021,202101-3150-003,Discontinue,11/22/2021,12/7/2021,Approved,2021
3150-0236,NRC,Information Collections Contained in the Appendix F to 10 CFR Part 52 Design Certification Rule for the APR1400 Design,New collection (Request for a new OMB Control Number),7/2/2019 0:00,9/12/2019 0:00,Approved without change,7/12/2021 0:00,1,0,2021,201907-3150-002,Discontinue,6/29/2021,7/12/2021,Approved,2021
3150-0237,NRC,Nuclear Energy Innovation and Modernization Act Local Community Advisory Board Questionnaire,New collection (Request for a new OMB Control Number),7/11/2019 0:00,8/13/2019 0:00,Approved without change,4/30/2021 0:00,1,0,2021,201907-3150-005,Discontinue,4/19/2021,4/21/2021,Approved,2021
3170-0051,CFPB,Financial Coaching Program for Veterans and Low-income Consumers,Revision of a currently approved collection,2/26/2018 0:00,9/10/2018 0:00,Approved without change,5/31/2021 0:00,1,0,2021,201710-3170-001,Discontinue,4/19/2021,5/24/2021,Approved,2021
3170-0052,CFPB,Consumer and College Credit Card Agreements,Extension without change of a currently approved collection,7/20/2018 0:00,10/19/2018 0:00,Approved without change,11/3/2021 0:00,1,0,2021,201807-3170-001,Discontinue,10/15/2021,11/3/2021,Approved,2021
3170-0074,CFPB,Debt Collection Practices in Connection with the Global COVID-19 Pandemic (Regulation F),New collection (Request for a new OMB Control Number),4/22/2021 0:00,4/30/2021 0:00,Approved without change,9/30/2021 0:00,1,0,2021,202104-3170-002,Discontinue,8/27/2021,9/14/2021,Approved,2021
3206-0236,OPM,Customer Satisfaction Surveys,Revision of a currently approved collection,1/31/2018 0:00,9/25/2018 0:00,Approved with change,10/31/2021 0:00,11,13,2021,201801-3206-005,Discontinue,9/30/2021,10/12/2021,Approved,2021
3206-0262,OPM,"Report of Withholdings and Contributions for Health Benefits, Life Insurance and Retirement",Reinstatement without change of a previously approved collection,10/19/2018 0:00,11/19/2018 0:00,Approved without change,11/30/2021 0:00,3,3,2021,201810-3206-002,Discontinue,11/24/2021,11/30/2021,Approved,2021
3206-0263,OPM,Request for External Review,Revision of a currently approved collection,2/27/2018 0:00,7/2/2018 0:00,Approved with change,6/30/2021 0:00,3,4,2021,201712-3206-004,Discontinue,5/10/2021,5/11/2021,Approved,2021
3206-0277,CFPB,Certification of Vaccination (CFPB),RCF Recertification,8/26/2021 0:00,8/26/2021 0:00,Approved,12/14/2021 0:00,1,3,2021,202205-1902-001CF,RCF Discontinue,5/28/2025,5/28/2025,Approved,2025
3420-0011,OPIC,Application for Political Risk Insurance,Revision of a currently approved collection,5/30/2018 0:00,8/13/2018 0:00,Approved without change,4/30/2021 0:00,1,1,2021,201805-3420-001,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0015,OPIC,Application for Project Finance,Revision of a currently approved collection,3/5/2018 0:00,4/26/2018 0:00,Approved without change,4/30/2021 0:00,1,1,2021,201803-3420-001,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0018,OPIC,Personal Information Form,Revision of a currently approved collection,7/11/2018 0:00,8/13/2018 0:00,Approved without change,4/30/2021 0:00,1,1,2021,201807-3420-001,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0019,OPIC,Self-Monitoring Questionnaire for Insurance and Finance Projects,Revision of a currently approved collection,6/26/2018 0:00,9/21/2018 0:00,Approved with change,4/30/2021 0:00,1,1,2021,201806-3420-001,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0032,OPIC,Office of Investment Policy Questionnaire,Revision of a currently approved collection,6/26/2018 0:00,9/21/2018 0:00,Approved with change,4/30/2021 0:00,1,1,2021,201806-3420-002,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0035,OPIC,Personal Financial Statement,Revision of a currently approved collection,12/1/2017 0:00,1/30/2018 0:00,Approved without change,1/31/2021 0:00,1,1,2021,201712-3420-001,Discontinue,1/31/2021,1/31/2021,Approved,2021
3420-0036,OPIC,U.S. Effects Screening Questionnaire,Revision of a currently approved collection,11/28/2017 0:00,1/8/2018 0:00,Approved without change,1/31/2021 0:00,1,1,2021,201711-3420-003,Discontinue,1/31/2021,1/31/2021,Approved,2021
3420-0037,OPIC,Investment Funds Department Questionnaire,Revision of a currently approved collection,3/7/2018 0:00,5/31/2018 0:00,Approved without change,4/30/2021 0:00,1,1,2021,201803-3420-002,Discontinue,4/20/2021,4/28/2021,Approved,2021
3420-0038,OPIC,Request for Registration for Political Risk Insurance,Extension without change of a currently approved collection,5/30/2018 0:00,8/13/2018 0:00,Approved without change,4/30/2021 0:00,1,1,2021,201805-3420-002,Discontinue,4/20/2021,4/28/2021,Approved,2021
7100-0379,FRS,Pre-Hire Conflict of Interest Screening Form,New collection (Request for a new OMB Control Number),8/13/2020 0:00,8/13/2020 0:00,Approved without change,4/30/2021 0:00,1,0,2021,202007-7100-006,Discontinue,4/25/2021,4/25/2021,Approved,2021
9000-0091,FAR,Anti-Kickback Procedures - FAR Sections Affected: 52.203-7,Revision of a currently approved collection,12/3/2019 0:00,1/23/2020 0:00,Approved without change,6/30/2021 0:00,1,0,2021,201912-9000-002,Discontinue,4/22/2021,6/28/2021,Approved,2021
0505-0026,USDA/OCFO,Supplier Credit Audit Recovery,Extension without change of a currently approved collection,8/5/2019 0:00,10/7/2019 0:00,Approved without change,10/5/2022 0:00,1,0,2022,201907-0505-003,Discontinue,10/3/2022,10/5/2022,Approved,2022
0518-0048,USDA/ARS,Your Perspective on your Grasslands in the Northern Great Plains.,New collection (Request for a new OMB Control Number),5/1/2019 0:00,9/16/2019 0:00,Approved with change,8/18/2022 0:00,3,0,2022,201808-0518-001,Discontinue,3/8/2022,8/18/2022,Approved,2022
0524-0034,USDA/NIFA,Application for Authorization to Use 4-H Name and/or Emblem,Revision of a currently approved collection,5/22/2019 0:00,7/1/2019 0:00,Approved without change,8/18/2022 0:00,1,1,2022,201905-0524-001,Discontinue,7/7/2022,8/18/2022,Approved,2022
0535-0259,USDA/NASS,Local Food Marketing Practices Survey,Revision of a currently approved collection,10/18/2021 0:00,11/19/2021 0:00,Approved without change,11/30/2022 0:00,2,1,2022,202505-0535-002,Reinstatement without change of a previously approved collection,6/18/2025,8/25/2025,Approved without change,2025
